,Datas,Cidades,Estados,Geocode
308,2020-03-29,são josé dos pinhais,PR,4125506.0
309,2020-03-29,são mateus,ES,3204906.0
310,2020-03-29,terra rica,PR,4127304.0
311,2020-03-30,angra dos reis,RJ,3300100.0
312,2020-03-30,apodi,RN,2401008.0
313,2020-03-30,beberibe,CE,2302206.0
314,2020-03-30,brodowski,SP,3507803.0
315,2020-03-30,cajamar,SP,3509205.0
316,2020-03-30,dias d'ávila,BA,2910057.0
317,2020-03-30,itapevi,SP,3522505.0
318,2020-03-30,itumbiara,GO,5211503.0
319,2020-03-30,itupeva,SP,3524006.0
320,2020-03-30,jaru,RO,1100114.0
321,2020-03-30,luís gomes,RN,2407005.0
322,2020-03-30,manhuaçu,MG,3139409.0
323,2020-03-30,matinhos,PR,4115705.0
324,2020-03-30,nova soure,BA,2922904.0
325,2020-03-30,novo airão,AM,1303205.0
326,2020-03-30,palmares,PE,2610004.0
327,2020-03-30,patos,PB,2510808.0
328,2020-03-30,paulínia,SP,3536505.0
329,2020-03-30,penápolis,SP,3537305.0
330,2020-03-30,pescaria brava,SC,4212650.0
331,2020-03-30,piracicaba,SP,3538709.0
332,2020-03-30,porto feliz,SP,3540606.0
333,2020-03-30,rio bonito,RJ,3304300.0
334,2020-03-30,rio branco do sul,PR,4122206.0
335,2020-03-30,rondonópolis,MT,5107602.0
336,2020-03-30,santos,SP,3548500.0
337,2020-03-30,são pedro,SP,3550407.0
338,2020-03-30,taquari,RS,4321303.0
339,2020-03-30,teresópolis,RJ,3305802.0
340,2020-03-30,unaí,MG,3170404.0
341,2020-03-31,abaetetuba,PA,1500107.0
342,2020-03-31,alcinópolis,MS,5000252.0
343,2020-03-31,alfenas,MG,3101607.0
344,2020-03-31,alto rio novo,ES,3200359.0
345,2020-03-31,americana,SP,3501608.0
346,2020-03-31,araçatuba,SP,3502804.0
347,2020-03-31,barra,BA,2902708.0
348,2020-03-31,bauru,SP,3506003.0
349,2020-03-31,cachoeira paulista,SP,3508603.0
350,2020-03-31,cachoeirinha,RS,4303103.0
351,2020-03-31,candeias,BA,2906501.0
352,2020-03-31,catu,BA,2907509.0
353,2020-03-31,coaraci,BA,2908002.0
354,2020-03-31,francisco beltrão,PR,4108403.0
355,2020-03-31,franco da rocha,SP,3516408.0
356,2020-03-31,guarujá,SP,3518701.0
357,2020-03-31,ipubi,PE,2607307.0
358,2020-03-31,itajuípe,BA,2915502.0
359,2020-03-31,itapecerica da serra,SP,3522208.0
360,2020-03-31,itaquaquecetuba,SP,3523107.0
361,2020-03-31,lapa,PR,4113205.0
362,2020-03-31,lençóis paulista,SP,3526803.0
363,2020-03-31,macaé,RJ,3302403.0
364,2020-03-31,marituba,PA,1504422.0
365,2020-03-31,matão,SP,3529302.0
366,2020-03-31,medeiros neto,BA,2921104.0
367,2020-03-31,mogi guaçu,SP,3530706.0
368,2020-03-31,nova andradina,MS,5006200.0
369,2020-03-31,nova odessa,SP,3533403.0
370,2020-03-31,paranaiguara,GO,5216304.0
371,2020-03-31,pirajuí,SP,3538907.0
372,2020-03-31,quatro barras,PR,4120804.0
373,2020-03-31,salto de pirapora,SP,3545308.0
374,2020-03-31,santa isabel,SP,3546801.0
375,2020-03-31,santa quitéria,CE,2312205.0
376,2020-03-31,são domingos do sul,RS,4318051.0
377,2020-03-31,são josé do rio pardo,SP,3549706.0
378,2020-03-31,são pedro da aldeia,RJ,3305208.0
379,2020-03-31,são vicente,SP,3551009.0
380,2020-03-31,tucuruí,PA,1508100.0
381,2020-03-31,verê,PR,4128609.0
382,2020-03-31,viana,ES,3205101.0
383,2020-03-31,vinhedo,SP,3556701.0
384,2020-03-31,votorantim,SP,3557006.0
385,2020-03-31,votuporanga,SP,3557105.0
386,2020-04-01,afonso cláudio,ES,3200102.0
387,2020-04-01,alegrete,RS,4300406.0
388,2020-04-01,aliança,PE,2600708.0
389,2020-04-01,aracruz,ES,3200607.0
390,2020-04-01,araguari,MG,3103504.0
391,2020-04-01,arapongas,PR,4101507.0
392,2020-04-01,araucária,PR,4101804.0
393,2020-04-01,arraial do cabo,RJ,3300258.0
394,2020-04-01,assis chateaubriand,PR,4102000.0
395,2020-04-01,açailândia,MA,2100055.0
396,2020-04-01,barcarena,PA,1501303.0
397,2020-04-01,barra do rocha,BA,2903102.0
398,2020-04-01,cabedelo,PB,2503209.0
399,2020-04-01,caldas novas,GO,5204508.0
400,2020-04-01,cambé,PR,4103701.0
401,2020-04-01,campestre de goiás,GO,5204607.0
402,2020-04-01,capitólio,MG,3112802.0
403,2020-04-01,ceará-mirim,RN,2402600.0
404,2020-04-01,cidade ocidental,GO,5205497.0
405,2020-04-01,eusébio,CE,2304285.0
406,2020-04-01,fazenda rio grande,PR,4107652.0
407,2020-04-01,goioerê,PR,4108601.0
408,2020-04-01,ibaiti,PR,4109708.0
